| Sample | pH    | Temperature (°C) | Turbidity (NTU) |
|--------|-------|-------------------|-----------------|
| 1      | 7.2   | 25.6              | 12.3            |
| 2      | 6.8   | 24.9              | 10.7            |
| 3      | 7.0   | 26.2              | 14.5            |
| 4      | 7.5   | 25.0              | 11.8            |
| 5      | 6.5   | 24.8              | 13.2            |
| 6      | 7.8   | 25.5              | 9.4             |
| 7      | 6.9   | 26.8              | 15.1            |
| 8      | 7.3   | 24.2              | 12.6            |
| 9      | 7.1   | 25.7              | 11.0            |
| 10     | 7.4   | 26.1              | 14.2            |
| 11     | 7.0   | 25.3              | 12.0            |
| 12     | 6.7   | 24.6              | 11.3            |
| 13     | 7.5   | 26.0              | 13.5            |
| 14     | 6.8   | 25.2              | 10.2            |
| 15     | 7.2   | 25.8              | 12.8            |
| 16     | 6.9   | 24.5              | 10.5            |
| 17     | 7.1   | 26.3              | 14.0            |
| 18     | 7.3   | 25.1              | 11.5            |
| 19     | 6.6   | 26.5              | 14.8            |
| 20     | 7.0   | 25.4              | 12.2            |
| 21     | 7.6   | 24.7              | 10.9            |
| 22     | 6.8   | 26.6              | 14.3            |
| 23     | 7.2   | 25.9              | 12.5            |
| 24     | 6.7   | 25.1              | 11.2            |
| 25     | 7.4   | 26.4              | 13.7            |
| 26     | 6.9   | 24.4              | 11.7            |
| 27     | 7.1   | 25.5              | 12.1            |
| 28     | 7.3   | 26.7              | 14.7            |
| 29     | 6.6   | 25.2              | 11.4            |
| 30     | 7.5   | 25.8              | 13.0            |
