| Sample | pH    | Temperature (°C) | Turbidity (NTU) |
|--------|-------|-------------------|-----------------|
| 31     | 7.2   | 25.6              | 12.3            |
| 32     | 6.8   | 24.9              | 10.7            |
| 33     | 7.0   | 26.2              | 14.5            |
| 34     | 7.5   | 25.0              | 11.8            |
| 35     | 6.5   | 24.8              | 13.2            |
| 36     | 7.8   | 25.5              | 9.4             |
| 37     | 6.9   | 26.8              | 15.1            |
| 38     | 7.3   | 24.2              | 12.6            |
| 39     | 7.1   | 25.7              | 11.0            |
| 40     | 7.4   | 26.1              | 14.2            |
| 41     | 7.0   | 25.3              | 12.0            |
| 42     | 6.7   | 24.6              | 11.3            |
| 43     | 7.5   | 26.0              | 13.5            |
| 44     | 6.8   | 25.2              | 10.2            |
| 45     | 7.2   | 25.8              | 12.8            |
| 46     | 6.9   | 24.5              | 10.5            |
| 47     | 7.1   | 26.3              | 14.0            |
| 48     | 7.3   | 25.1              | 11.5            |
| 49     | 6.6   | 26.5              | 14.8            |
| 50     | 7.0   | 25.4              | 12.2            |
| 51     | 7.6   | 24.7              | 10.9            |
| 52     | 6.8   | 26.6              | 14.3            |
| 53     | 7.2   | 25.9              | 12.5            |
| 54     | 6.7   | 25.1              | 11.2            |
| 55     | 7.4   | 26.4              | 13.7            |
| 56     | 6.9   | 24.4              | 11.7            |
| 57     | 7.1   | 25.5              | 12.1            |
| 58     | 7.3   | 26.7              | 14.7            |
| 59     | 6.6   | 25.2              | 11.4            |
| 60     | 7.5   | 25.8              | 13.0            |
